ID,Name,Type,Sub-Type,Syze,Hit dice,Dice Type,Life Bonus,Initiative,Speed,Armor Class,Base Attack,Grapple,Attack,Full Attack,Space|Reach,Special Attacks,Special Qualities,Fortitude,Reflexes,Will,Str,Dex,Con,Int,Wis,Cha,Skills,Feats,Enviroments,Challenge Rating,Treasure,Alignment,LvL Adjustment,Organization,Advancement
122,Nightcrawler,Undead,Extraplanar,Gargantuan,25,d12,50,4,6|0|0|12|0,35|6|35,12,45,Bite +29 melee (4d6+21),Bite +29 melee (4d6+21/19–20) and sting +24 melee (2d8+11/19–20 plus poison),4|3,Desecrating aura| energy drain| spell-like abilities| poison| summon undead| swallow whole,	Aversion to daylight| damage reduction 15/silver and magic| darkvision 60 ft.| immunity to cold| spell resistance 31| telepathy 100 ft| tremorsense 60 ft.| undead traits,12,10,23,48,10,-,20,20,18,Concentration +32| Diplomacy +6| Hide +16| Knowledge (arcana) +33| Listen +33| Move Silently +28| Search +33| Sense Motive +23| Spellcraft +35| Spot +33| Survival +5 (+7 following tracks),Blind Fight| Combat Casting| Great Fortitude| Improved Critical (bite)| Improved Critical (sting)| Improved Initiative| Iron Will| Power Attack| Quicken Spell-Like Ability (cone of cold),Plane of Shadow,18,Standard,Chaotic Evil,-,Solitary or pair,26–50 HD (Colossal)
123,Nightwalker,Undead,Extraplanar,Huge,21,d12,42,6,8|4|0|0|0,32|10|30,10,34,Slam +24 melee (2d6+16),2 Slam +24 melee (2d6+16),3|3,Crush item| desecrating aura| evil gaze| spell-like abilities| summon undead,Aversion to daylight| damage reduction 15/silver and magic| darkvision 60 ft.| immunity to cold| spell resistance 29| telepathy 100 ft.| undead traits,11,11,19,38,14,-,20,20,18,Concentration +28| Diplomacy +6| Hide +18*| Knowledge (arcana) +29| Listen +29| Move Silently +26| Search +29| Sense Motive +29| Spellcraft +31| Spot +29| Survival +5 (+7 following tracks),Cleave| Combat Expertise| Combat Reflexes| Great Fortitude| Improved Disarm| Improved Initiative| Power Attack| Quicken Spell-Like Ability (unholy blight),Plane of Shadow,16,Standard,Chaotic Evil,-,Solitary| pair| or gang (3–4),22–31 HD (Huge)| 32–42 HD (Gargantuan)
124,Cloaker,Aberration,-,Large,6,d8,18,7,2|8|0|0|0,19|12|16,4,13,Tail slap +8 melee (1d6+5),Tail slap +8 melee (1d6+5) and bite +3 melee (1d4+2),2|2,Moan| engulf,Darkvision 60 ft.| shadow shift,5,5,7,21,16,17,14,15,15,Hide +8| Listen +13| Move Silently +12| Spot +13,Alertness| Combat Reflexes| Improved Initiative,Underground,5,Standard,Chaotic Neutral,-,Solitary| mob (3–6)| or flock (7–12),7–9 HD (Large) 10–18 HD (Huge)
125,Choker,Aberration,-,Small,3,d8,3,6,4|0|0|0|2,17|13|15,2,5,7–9 HD (Large) 10–18 HD (Huge),2 tentacles +6 melee (1d3+3),1|2,Improved grab| constrict 1d3+3,Darkvision 60 ft.| quickness,2,5,4,16,14,13,4,13,7,Climb +13| Hide +10| Move Silently +6,Improved InitiativeB| Lightning Reflexes| Stealthy,Underground,2,1/10 coins 50% goods 50% items,Chaotic Evil,-,Solitary,4–6 HD (Small) 7–12 HD (Medium)
126,Dark Naga,Aberration,-,Large,9,d8,18,2,8|0|0|0|0,14|11|12,6,12,Sting +7 melee (2d4+2 plus poison),Sting +7 melee (2d4+2 plus poison) and bite +2 melee (1d4+1),2|1,Poison| spells,Darkvision 60 ft.| detect thoughts| guarded thoughts| immunity to poison| resistance to charm,5,7,8,14,15,14,16,15,17,Bluff +9| Concentration +13| Diplomacy +7| Disguise +5 (+7 acting)| Intimidate +5| Listen +11| Sense Motive +8| Spellcraft +12| Spot +11,Alertness| Combat Casting| Dodge| Eschew MaterialsB| Lightning Reflexes,Temperate hills,8,Standard,Lawful Evil,-,Solitary or nest(2-4),10–13 HD (Large) 14–27 HD (Huge)
127,Destrachan,Aberration,-,Large,8,d8,24,5,6|0|0|0|0,18|10|17,6,14,Claw +9 melee (1d6+4),2 claws +9 melee (1d6+4),2|1,Destructive harmonics,Blindsight 100 ft.| immunities| protection from sonics,5,5,10,18,12,16,12,18,12,Hide +8| Listen +25| Move Silently +7| Survival +9,Dodge| Improved Initiative| Lightning Reflexes,Underground,8,None,Neutral Evil,-,Solitary or pack (3–5),9–16 HD (Large) 17–24 HD (Huge)
128,Ettercap,Aberration,-,Medium,5,d8,5,3,6|0|0|0|6,14|13|11,3,5,Bite +5 melee (1d8+2 plus poison) and 2 claws +3 melee (1d3+1),-,1|1,Poison| web,Low-light vision,4,4,6,14,17,13,6,15,8,Climb +10| Craft (trapmaking) +4| Hide +9| Listen +4| Spot +8,Great Fortitude| Multiattack,Warm forests,3,Standard,Neutral Evil,4,Solitary| pair| or troupe (1–2 plus 2–4 Medium monstrous spiders),6–7 HD (Medium) 8–15 HD (Large)
129,Ethereal Filcher,Aberration,-,Medium,5,d8,0,8,8|0|0|0|0,17|14|13,3,3,Bite +3 melee(1d4),Bite +3 melee(1d4),1|1,-,Darkvision 60 ft.| detect magic| ethereal jaunt,1,5,5,10,18,11,7,12,10,Listen +9| Sleight of Hand +12| Spot +9,Dodge| Improved Initiative,Underground,3,No coins standard goods double items,Neutral Neutral,-,Solitary,6–7 HD (Medium) 8–15 HD (Large)
130,Gibbering Mouther,Aberration,-,Medium,4,d8,24,1,2|0|4|0|0,19|11|18,3,3,Bite +4 melee (1) or spittle +4 ranged touch (1d4 acid plus blindness),6 bites +4 melee (1) and spittle +4 ranged touch (1d4 acid plus blindness),1|1,Gibbering| spittle| improved grab| swallow whole| blood drain| engulf| ground manipulation,Amorphous| damage reduction 5/bludgeoning| darkvision 60 ft.,7,4,5,10,13,22,4,13,13,Listen +4| Spot +9| Swim +8,Lightning Reflexes| Weapon Finesse,Underground,5,None,Neutral Neutral,-,Solitary,5–12 HD (Large)
131,Grick,Aberration,-,Medium,2,d8,0,2,6|0|0|0|4,16|12|14,1,3,Tentacle +3 melee (1d4+2),4 tentacles +3 melee (1d4+2) bite –2 melee (1d3+1),1|1,-,Damage reduction 10/magic| darkvision 60 ft.| scent,0,2,5,14,14,11,3,14,5,Climb +10| Hide +3| Listen +6| Spot +6,Alertness| Track(B),Underground,3,1/10 coins 50% goods 50% items,Neutral Neutral,-,Solitary or cluster (2–4),3–4 HD (Medium) 5–6 HD (Large)
132,Guardian Naga,Aberration,-,Large,11,d8,44,2,8|0|0|0|0,18|11|16,8,17,Bite +12 melee (2d6+7 plus poison) or spit +9 ranged touch (poison),Bite +12 melee (2d6+7 plus poison) or spit +9 ranged touch (poison),2|1,Poison| spit| spells,Darkvision 60 ft.,7,7,11,21,14,19,16,19,18,Bluff +18| Concentration +19| Listen +13| Diplomacy +8| Disguise +4 (+6 acting)| Intimidate +6| Sense Motive +18| Spellcraft +17| Spot +13,Alertness| Combat Casting| Dodge| Eschew MaterialsB| Lightning Reflexes,Temperate plains,10,Standard,Lawful Good,-,Solitary or nest(2-4),12–16 HD (Large) 17–33 HD (Huge)
133,Mimic,Aberration,Shapechanger,Large,7,d8,21,1,2|0|0|0|0,15|10|15,5,13,Slam +9 melee (1d8+4),2 Slam +9 melee (1d8+4),2|2,Adhesive| crush,Darkvision 60 ft.| immunity to acid| mimic shape,5,5,6,19,12,17,10,13,10,Climb +9| Disguise +13| Listen +8| Spot +8,Alertness| Lightning Reflexes| Weapon Focus (slam),Underground,4,1/10th coins 50% goods 50% items,Neutral Neutral,-,Solitary,8–10 HD (Large) 11–21 HD (Huge)
134,Phasm,Aberration,Shapechanger,Medium,15,d8,30,6,6|0|0|0|0,17|12|15,11,12,Slam +12 melee (1d3+1),Slam +12 melee (1d3+1),1|1,-,Alternate form| amorphous| resilient| scent| telepathy 100 ft.| tremorsense 60 ft.,11,11,11,12,15,15,16,15,14,Bluff +20| Climb +7| Craft (any one) +12| Diplomacy +12| Disguise +20 (+22 acting)*| Intimidate +4| Knowledge (any one) +18| Listen +12| Spot +12| Survival +8,Alertness| Blind Fight| Combat Reflexes| Dodge| Improved Initiative| Mobility,Underground,7,Standard,Chaotic Neutral,-,Solitary,15–21 HD (Huge) 22–45 HD (Gargantuan)
135,Spirit Naga,Aberration,-,Large,9,d8,36,1,8|0|0|0|0,16|10|15,6,14,Bite +9 melee (2d6+6 plus poison),Bite +9 melee (2d6+6 plus poison),2|1,Charming gaze| poison| spells,Darkvision 60 ft.,7,6,9,18,13,18,12,17,17,Concentration +13| Listen +14| Spellcraft +10| Spot +14,Ability Focus (charming gaze)| Alertness| Combat Casting| Eschew MaterialsB| Lightning Reflexes,Temperate marshes,9,Standard,Chaotic Evil,-,Solitary or nest (2–4),10–13 HD (Large) 14–27 HD (Huge)
136,Water Naga,Aberration,Aquatic,Large,7,d8,28,1,6|0|10|0|0,15|10|14,5,12,Bite +7 melee (2d6+4 plus poison),Bite +7 melee (2d6+4 plus poison),2|1,Poison| spells,Darkvision 60 ft.,6,5,8,16,13,18,10,17,15,Concentration +12| Listen +7| Spellcraft +8| Spot +7| Swim +11,Alertness| Combat Casting| Eschew MaterialsB| Lightning Reflexes,Temperate aquatic,7,Standard,Neutral Neutral,-,Solitary| pair| or nest (3–4),8–10 HD (Large) 11–21 HD (Huge)
137,Ape,Animal,-,Large,4,d8,11,2,6|0|0|0|6,14|11|12,3,12,Claws +7 melee (1d6+5),2 claws +7 melee (1d6+5) and bite +2 melee (1d6+2),2|2,-,Low-light vision| scent,6,6,2,21,15,14,2,12,7,Climb +14| Listen +6| Spot +6,Alertness| Toughness,Warm forests,2,None,Neutral Neutral,-,Solitary| pair| or company (3–5),5–8 HD (Large)
138,Black Bear,Animal,-,Medium,3,d8,6,1,8|0|0|0|0,13|11|12,2,6,Claw +6 melee (1d4+4),2 claws +6 melee (1d4+4) and bite +1 melee (1d6+2),1|1,-,Low-light vision| scent,5,4,2,19,13,15,2,12,6,Climb +4| Listen +4| Spot +4| Swim +8,Endurance| Run,Temperate forests,2,None,Neutral Neutral,-,Solitary or Pair,4–5 HD (Medium)
139,Brown Bear,Animal,-,Large,6,d8,24,1,8|0|0|0|0,15|10|14,4,16,Claw +11 melee (1d8+8),2 claws +11 melee (1d8+8) and bite +6 melee (2d6+4),2|1,Improved grab,Low-light vision| scent,9,6,3,27,13,19,2,12,6,Listen +4| Spot +7| Swim +12,Endurance| Run| Track,Cold forests,4,None,Neutral Neutral,-,Solitary or pair,7–10 HD (Large)
140,Boar,Animal,-,Medium,3,d8,12,0,8|0|0|0|0,16|10|16,2,4,Gore +4 melee (1d8+3),Gore +4 melee (1d8+3),1|1,Ferocity,Low-light vision| scent,6,3,2,15,10,17,2,13,4,Listen +7| Spot +5,Alertness| Toughness,Temperate forests,2,None,Neutral Neutral,-,Solitary or herd (5–8),4–5 HD (Medium)
141,Crocodile,Animal,-,Medium,3,d8,9,1,4|0|6|0|0,15|11|14,2,6,Bite +6 melee (1d8+6) or tail slap +6 melee (1d12+6),Bite +6 melee (1d8+6) or tail slap +6 melee (1d12+6),1|1,Improved grab,Hold breath| low-light vision,6,4,2,19,12,17,1,12,2,Hide +7| Listen +4| Spot +4| Swim +12,Alertness| Skill Focus (Hide),Warm marshes,2,None,Neutral Neutral,-,Solitary or colony (6–11),4–5 HD (Medium)
142,Donkey,Animal,-,Medium,1,d8,2,1,6|0|0|0|0,13|11|12,1,1,Bite +1 melee (1d2),Bite +1 melee (1d2),1|1,-,Low-light vision| scent,4,4,0,10,13,12,2,11,4,Balance +3| Listen +3| Spot +2,Endurance,Temperate deserts,0.17,None,Neutral Neutral,-,Solitary,-
143,Eagle,Animal,-,Small,1,d8,1,2,2|16|0|0|0,14|13|12,0,-4,Talons +3 melee (1d4),2 talons +3 melee (1d4) and bite –2 melee (1d4),1|1,-,Low-light vision,3,4,2,10,15,12,2,14,6,Listen +4| Spot + 16,Alertness| Weapon Finesse(B),Temperate mountains,0.5,None,Neutral Neutral,-,Solitary or pair,2–3 HD (Medium)
144,Elephant,Animal,-,Huge,11,d8,55,0,8|0|0|0|0,15|8|15,8,26,Gore +16 melee (2d8+15),Slam +16 melee (2d6+10) and 2 stamps +11 melee (2d6+5) or gore +16 melee (2d8+15),3|2,Trample 2d8+15,Low-light vision| scent,12,7,6,30,10,21,2,13,7,Listen +12| Spot +10,Alertness| Endurance| Iron Will| Skill Focus (Listen),Warm plains,7,None,Neutral Neutral,-,Solitary or herd (6–30),12–22 HD (Huge)
145,Giant Crocodile,Animal,-,Huge,7,d8,28,1,4|0|6|0|0,16|9|15,5,21,Bite +11 melee (2d8+12) or tail slap +11 melee (1d12+12),Bite +11 melee (2d8+12) or tail slap +11 melee (1d12+12),3|2,Improved grab,Hold breath| low-light vision,9,6,3,27,12,19,1,12,2,Hide +1| Listen +5| Spot +5| Swim +16,Alertness| Endurance| Skill Focus (Hide),Warm marshes,4,None,Neutral Neutral,-,Solitary or colony (6–11),8–14 HD (Huge)
146,Giant Octopus,Animal,Aquatic,Large,8,d8,11,2,4|0|6|0|0,18|11|16,6,15,Tentacle +10 melee (1d4+5),8 tentacles +10 melee (1d4+5) and bite +5 melee (1d8+2),2|2,Improved grab| constrict,Ink cloud| jet| low-light vision,7,8,3,20,15,13,2,12,3,Escape Artist +12| Hide +12| Listen +4| Spot +6| Swim +13,Alertness| Skill Focus (Hide)| Toughness,Warm aquatic,8,None,Neutral Neutral,-,Solitary,9–12 HD (Large) 13–24 HD (Huge)
147,Hawk,Animal,-,Tiny,1,d8,0,3,2|12|0|0|0,17|15|14,0,-10,Talons +5 melee (1d4–2),Talons +5 melee (1d4–2),0.3|0,-,Low-light vision,2,5,2,6,17,10,2,14,6,Listen +4| Spot +16,Alertness| Weapon Finesse(B),Temperate forests,0.34,None,Neutral Neutral,-,Solitary or pair,-
148,Heavy Warhorse,Animal,-,Large,4,d8,12,1,10|0|0|0|0,14|10|13,3,11,Hoof +6 melee (1d6+4),2 hooves +6 melee (1d6+4) and bite +1 melee (1d4+2),2|1,-,Low-light vision| scent,7,5,2,18,13,17,2,13,6,Listen +5| Spot +4,Endurance| Run,Temperate plains,2,None,Neutral Neutral,-,Domesticated,-
149,Leopard,Animal,-,Medium,3,d8,6,4,8|0|0|0|4,15|14|11,2,5,Bite +6 melee (1d6+3),Bite +6 melee (1d6+3) and 2 claws +1 melee (1d3+1),1|1,Improved grab| pounce| rake 1d3+1,Low-light vision| scent,5,7,2,16,19,15,2,12,6,Balance +12| Climb +11| Hide +8| Jump +11| Listen +6| Move Silently +8| Spot +6,Alertness| Weapon Finesse,Warm forests,2,None,Neutral Neutral,-,Solitary or pair,4–5 HD (Medium)
150,Lion,Animal,-,Large,5,d8,10,3,8|0|0|0|0,15|12|12,3,12,Claw +7 melee (1d4+5),2 claws +7 melee (1d4+5) and bite +2 melee (1d8+2),2|1,Pounce| improved grab| rake 1d4+2,Low-light vision| scent,6,7,2,21,17,15,2,12,6,Balance +7| Hide +3| Listen +5| Move Silently +11| Spot +5,Alertness| Run,Warm plains,3,None,Neutral Neutral,-,Solitary| pair| or pride (6–10),6–8 HD (Large)
151,Megaraptor,Animal,-,Large,8,d8,43,2,12|0|0|0|0,17|11|15,6,15,Talons +10 melee (2d6+5),Talons +10 melee (2d6+5) and 2 foreclaws +5 melee (1d4+2) and bite +5 melee (1d8+2),2|1,Pounce,Low-light vision| scent,10,8,4,21,15,21,2,15,10,Hide +9| Jump +27| Listen +12| Spot +12| Survival +12,Run| Toughness| Track,Warm forests,6,None,Neutral Neutral,-,Solitary| pair| or pack (3–6),9–16 HD (Large) 17–24 HD (Huge)
152,Nightwing,Undead,Extraplanar,Huge,17,d12,34,8,4|12|0|0|0,30|12|26,8,28,Bite +18 melee (2d6+17/19–20 plus magic drain),Bite +18 melee (2d6+17/19–20 plus magic drain),3|2,Desecrating aura| magic drain| spell-like abilities| summon undead,Aversion to daylight| damage reduction 15/silver and magic| darkvision 60 ft.| immunity to cold| spell resistance 27| telepathy 100 ft.| undead traits,9,11,19,31,18,-,18,20,18,Concentration +24| Diplomacy +6| Hide +16*| Listen +25| Move Silently +24| Search +24| Sense Motive +25| Spellcraft +24| Spot +25| Survival +5 (+7 following tracks),Combat Reflexes| Dodge| Flyby Attack| Great Fortitude| Improved Critical (bite)| Improved Initiative,Plane of Shadow,14,Standard,Chaotic Evil,-,Solitary| pair| or flock (3–6),18–25 HD (Huge)| 26–34 HD (Gargantuan)
153,Shadow,Undead,Incorporeal,Medium,3,d12,0,2,0|8|0|0|0,13|13|11,1,-,Incorporeal touch +3 melee (1d6 Str),Incorporeal touch +3 melee (1d6 Str),1|1,Create spawn| strength damage,	Darkvision 60 ft.| incorporeal traits| +2 turn resistance| undead traits,1,3,4,-,14,-,6,12,13,Hide +8| Listen +7| Search +4| Spot +7,Alertness| Dodge,Any,3,None,Chaotic Evil,-,Solitary| gang (2–5)| or swarm (6–11),4–9 HD (Medium)
153,Greater Shadow,Undead,Incorporeal,Medium,9,d12,0,2,0|8|0|0|0,14|14|12,4,-,Incorporeal touch +6 melee (1d8 Str),Incorporeal touch +6 melee (1d8 Str),1|1,Create spawn| strength damage,        Darkvision 60 ft.| incorporeal traits| +2 turn resistance| undead traits,3,5,7,-,15,-,6,12,14,Hide +14| Listen +9| Search +6| Spot +9,Alertness| Dodge| Mobility| Spring Attack,Any,8,None,Chaotic Evil,-,Solitary,-
154,Shadow of the Void,Undead,Cold| Incorporeal,Large,35,d12,0,17,0|12|0|0|0,48|48|19,17,-,Incorporeal touch +25 (2d6 plus blightfire) melee,Incorporeal touch +25 (2d6 plus blightfire) melee,2|2,Blightfire| create spawn| spell-like abilities,Undead traits| incorporeal traits| turn resistance +6| cold subtype| cold aura| SR 36| DR 10/epic,13,20,16,-,29,-,17,25,31,Diplomacy +48| Hide +47| Intimidate +48| Listen +45| Search +41| Sense Motive +45| Spot +45,Alertness| Blind-Fight| Blinding Speed| Combat Reflexes| Dodge| Combat Expertise| Great Fortitude| Improved Combat Reflexes| Improved Initiative| Mobility| Spellcasting Harrier| Spring Attack| Superior Initiative| Whirlwind Attack,Any,26,None,Lawful Evil,-,Solitary or gang (2–5),36–42 HD (Large)| 43–70 HD (Huge)
155,Shape of Fire,Undead,Fire| Incorporeal,Large,35,d12,0,17,0|8|0|0|0,48|48|1,17,-,Incorporeal touch +25 (2d6 plus blazefire) melee,Incorporeal touch +25 (2d6 plus blazefire) melee,2|2,Blazefire| create spawn| spell-like abilities,Undead traits| incorporeal traits| turn resistance +6| fire subtype| heat aura| SR 36| DR 10/epic,13,20,26,-,29,-,17,25,31,	Diplomacy +48| Hide +47| Intimidate +48| Listen +45| Search +41| Sense Motive +45| Spot +45,Alertness| Blind-Fight| Blinding Speed| Combat Reflexes| Dodge| Combat Expertise| Great Fortitude| Improved Combat Reflexes| Improved Initiative| Mobility| Spellcasting Harrier| Spring Attack| Superior Initiative| Whirlwind Attack,Any,26,None,Lawful Evil,-,Solitary or gang (2–5),36–42 HD (Large)| 43–70 HD (Huge)
156,Spectre,Undead,Incorporeal,Medium,7,d12,0,7,8|16|0|0|0,15|15|13,3,-,Incorporeal touch +6 melee (1d8 plus Energy drain),Incorporeal touch +6 melee (1d8 plus Energy drain),1|1,Energy drain| create spawn,Darkvision 60 ft.| incorporeal traits| +2 turn resistance| sunlight powerlessness| undead traits| unnatural aura,2,5,7,-,16,-,14,14,15,Hide +13| Intimidate +12| Knowledge (religion) +12| Listen +14| Search +12| Spot +14| Survival +2 (+4 following tracks),Alertness| Blind Fight| Improved Initiative,	Any land and underground,7,None,Lawful Evil,-,Solitary| gang (2–4)| or swarm (6–11),8–14 HD (Medium)
157,Vampire Spawn,Undead,-,Medium,4,d2,3,6,6|0|0|0|0,15|12|13,2,5,Slam +5 melee (1d6+4 plus energy drain),Slam +5 melee (1d6+4 plus energy drain),1|1,Blood drain| domination| energy drain,(+2) turn resistance| damage reduction 5/silver| darkvision 60 ft.| fast healing 2| gaseous form| resistance to cold 10 and electricity 10| spider climb| undead traits,1,5,5,16,14,-,13,13,14,Bluff +6| Climb +8| Craft or Profession (any one) +4| Diplomacy +4| Hide +10| Jump +8| Listen +11| Move Silently +10| Search +8| Sense Motive +11| Spot +11,Alertness| Improved Initiative| Lightning Reflexes| Skill Focus (selected Craft or Profession skill)| Toughness,Any,4,Standard,Evil,-,	Solitary or pack (2–5),-
158,Wight,Undead,-,Medium,4,d12,0,1,6|0|0|0|0,15|11|14,2,3,	Slam +3 melee (1d4+1 plus energy drain),	Slam +3 melee (1d4+1 plus energy drain),1|1,Create spawn| energy drain,Darkvision 60 ft.| undead traits,1,2,5,12,12,-,11,13,15,Hide +8| Listen +7| Move Silently +16| Spot +7,Alertness| Blind Fight,Any,3,None,Lawful Evil,-,Solitary| pair| gang (3–5)| or pack (6–11),5–8 HD (Medium)
159,Winterwight,Undead,-,Medium,32,d12,0,12,12|0|0|0|0,46|18|38,16,37,Claw +40 (3d8+21/19–20 (+1d6 on critical hit) plus blight-fire) melee,2 claws +40 (3d8+21/19–20 (+1d6 on critical hit) plus blight-fire) melee| skull butt +32 (2d6+10 plus blightfire) melee,1|1,	Rend 6d8+31| blightfire| spell-like abilities,Undead traits| cold subtype| cold aura| SR 34| DR 10/–,14,18,24,52,27,-,10,22,28,Jump +21| Intimidate +44| Knowledge (religion) +35| Listen +43| Spot +43,Blinding Speed| Cleave| Epic Fortitude| Epic Weapon Focus (claw)| Improved Critical (claw)| Improved Initiative| Overwhelming Critical (claw)| Power Attack| Weapon Focus (claw),Any,23,Standard,Chaotic Evil,-,Solitary or pair,33–42 HD (Medium-size)| 43–55 HD (Huge)
160,Pseudonatural Troll,Outsider,Extraplanar,Large,6,d8,66,7,12|0|0|0|0,51|16|44,4,40,Tentacle rake +35 (2d8+17) melee,5 tentacle rakes +35 (2d8+17) melee,2|2,Constant insight| improved grab| rend 4d8+25| rotting constriction,DR 5/epic| SR 30| acid and electricity resistance 20| regeneration 5| scent| spell-like abilities| darkvision 90 ft.,16,9,8,45,24,33,6,19,6, 	Climb +26| Hide +16| Jump +38| Listen +15| Move Silently +16| Spot +15,Alertness| Iron Will| Track,Any,21,Standard,Chaotic Evil,-,Solitary or gang (2–4),By character class
161,Couatl(Psionic),Outsider,Native| Psionic,Large,9,d8,18,7,4|12|0|0|0,21|12|18,9,17,Bite +12 melee (1d3+6 plus poison),Bite +12 melee (1d3+6 plus poison),2|1,Constrict 2d8+6| improved grab| poison| psi-like abilities| spells,Darkvision 60 ft.| ethereal jaunt| telepathy 90 ft.,8,9,10,18,16,14,17,19,17,Concentration +14| Diplomacy +17| Jump +0| Knowledge (any two) +15| Listen +16| Search +15| Sense Motive +16| Spellcraft +15 (+17 scrolls)| Spot +16| Survival +4 (+6 following tracks)| Tumble +15| Use Magic Device +15 (+17 scrolls),Dodge| Empower Spell| Eschew Materials| Hover| Improved Initiative,Warm forests,10,Standard,Lawful Good,7,Solitary| pair| or flight (3–6),10–13 HD (Large)| 14–27 HD (Huge)
162,Quasit,Outsider,Chaotic| Extraplanar| Evil,Tiny,3,d8,0,7,4|10|0|0|0,18|15|15,3,-6,Claw +8 melee (1d3–1 plus poison),2 claws +8 melee (1d3–1 plus poison) and bite +3 melee (1d4–1),0.3|0,Poison| spell-like abilities,Alternate form| damage reduction 5/cold iron or good| darkvision 60 ft.| fast healing 2| immunity to poison| resistance to fire 10,3,6,4,8,17,10,10,12,10,Bluff +6| Diplomacy +2| Disguise +0 (+2 acting)| Hide +17| Intimidate +2| Knowledge (any one) +6| Listen +7| Move Silently +9| Search +6| Spellcraft +6| Spot +6,Improved Initiative| Weapon Finesse,Chaotic Evil-Aligned Plane,2,None,Chaotic Evil,-,Solitary,4–6 HD (Tiny)
163,Rakhasa,Outsider,Native,Medium,7,d8,0,2,8|0|0|0|0,21|12|19,7,8,Claw +8 melee (1d4+1),2 claws +8 melee (1d4+1) and bite +3 melee (1d6),1|1,Detect thoughts| spells,Change shape| damage reduction 15/good and piercing| darkvision 60 ft.| spell resistance 27,8,7,6,12,14,16,13,13,17, 	Bluff +17*| Concentration +13| Diplomacy +7| Disguise +17 (+19 acting)*| Intimidate +5| Listen +13| Move Silently +13| Perform (oratory) +13| Sense Motive +11| Spellcraft +11| Spot +11,Alertness| Combat Casting| Dodge,Warm marshes,10,Standard coins| double goods| standard items,Lawful Evil,7,Solitary,By character class
164,Rast,Outsider,Extraplanar| Fire,Medium,4,d8,7,5,1|12|0|0|0,15|11|14,4,6,Claw +6 melee (1d4+2) or bite +6 melee (1d8+3),4 claws +6 melee (1d4+2) or bite +6 melee (1d8+3),1|1,Paralyzing gaze| improved grab| blood drain,Darkvision 60 ft.| flight| immunity to fire| vulnerability to cold,5,5,5,14,12,14,3,13,12,Hide +8| Listen +8| Move Silently +8| Spot +8,Improved Initiative| Toughness,Elemental Plane of Fire,5,None,Neutral Neutral,-,Solitary| pair| or cluster (3–6),5–6 HD (Medium)| 7–12 HD (Large)
165,Ravid,Outsider,Extraplanar,Medium,3,d8,3,4,4|12|0|0|0,25|10|25,3,4, Tail slap +4 melee (1d6+1 plus positive energy) or tail touch +4 melee touch (positive energy),Tail slap +4 melee (1d6+1 plus positive energy) and claw +2 melee (1d4 plus positive energy)| or tail touch +4 melee touch (positive energy) and claw touch +2 melee touch (positive energy),1|1,Positive energy lash| animate objects,Darkvision 60 ft.| flight| immunity to fire,4,3,4,13,10,13,7,12,14,Escape Artist +6| Hide +6| Listen +7| Move Silently +6| Spot +7| Survival +7| Use Rope +0 (+2 with bindings),Improved Initiative| Multiattack,Positive Energy Plane,5,None,Neutral Neutral,-,Solitary (1 plus at least 1 animated object),4 HD (Medium)| 5–9 HD (Large)
166,Bat,Animal,-,Diminutive,0.25,d8,0,2,1|8|0|0|0,16|16|14,0,-17,-,-,0.2|0,-,Blindsense 20 ft.| low-light vision,2,4,2,1,15,10,2,14,4,Hide +14| Listen +8| Move Silently +6| Spot +8,Alertness,Temperate deserts,0.1,None,Neutral Neutral,-,Colony (10–40) or crowd (10–50),-
167,Deinonychus,Animal,-,Medium,4,d8,16,2,12|0|0|0|0,17|12|15,3,7,Talons +7 melee (1d8+4),Talons +7 melee (1d8+4) and 2 foreclaws +2 melee (1d3+2) and bite +2 melee (2d4+2),1|1,Pounce,Low-light vision| scent,8,6,2,19,15,19,2,12,10,Hide +12| Jump +26| Listen +10| Spot +10| Survival +10,Run| Track,Warm forests,3,None,Neutral Neutral,-,Solitary| pair| or pack (3–6),5–8 HD (Medium)
168,Monkey,Animal,-,Tiny,1,d8,0,2,6|0|0|0|6,14|14|12,0,-12,Bite +4 melee (1d3–4),Bite +4 melee (1d3–4),0.3|0,-,Low-light vision,2,4,1,3,15,10,2,12,5,Balance +12| Climb +10| Escape Artist +4| Hide +10| Listen +3| Spot +3,Agile| Weapon Finesse(B),Warm forests,0.17,None,Neutral Neutral,-,Troop (10–40),2–3 HD (Small)
169,Mule,Animal,-,Large,3,d8,9,1,6|0|0|0|0,13|10|12,2,9,Hoof +4 melee (1d4+3),2 hooves +4 melee (1d4+3),2|1,-,Low-light vision| scent,6,4,1,16,13,17,2,11,6,Listen +6| Spot +6,Alertness| Endurance,Warm plains,1,None,Neutral Neutral,-,Domesticated,-
170,Hyena,Animal,-,Medium,2,d8,4,2,10|0|0|0|0,14|12|12,1,3,Bite +3 melee (1d6+3),Bite +3 melee (1d6+3),1|1,Trip,Low-light vision| scent,5,5,1,14,15,15,2,13,6,Hide +3| Listen +6| Spot +4,Alertness,Warm deserts,1,None,Neutral Neutral,-,Solitary| pair| or pack (7–16),3 HD (Medium) 4–5 HD (Large)
